Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Kö?k",Korea,37.855161,28.051425,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Ku?adas?",Korea,37.859898,27.251929,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Germencik",Korea,37.867832,27.600583,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Sultanhisar",Korea,37.88767,28.151353,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2006-2007,Spain,Córdoba,Korea,37.88817,-4.77938,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Nazilli",Korea,37.910109,28.335609,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Kuyucak",Korea,37.912168,28.460436,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2017?,Turkey,Pervari,Korea,37.93264,42.5476,Year: 2017? Ref: Ayan et al. (2017)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Pa?ayaylas?",Korea,37.947059,27.89127,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Buharken",Korea,37.963088,28.742764,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2006-2007,Spain,Murcia,Korea,37.99223,-1.13065,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2017?,Turkey,?irvan,Korea,38.09677,42.13438,Year: 2017? Ref: Ayan et al. (2017)
Vdestructor,Amellifera,2015-2016,Iran,Sabalan,Korea,38.266946,47.836808,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2001,China,"Gangu Co., Gansu Prov.",Korea,38.29259,102.12454,Year: 2001 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2015-2016,Iran,Astara,Korea,38.42245,48.86871,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Namin,Korea,38.42445,48.47824,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2006-2007,Spain,Badajoz,Korea,38.87944,-6.97065,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Albacete,Korea,38.99434,-1.85854,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,1998?,United States,Maryland,Korea,39.020201,-76.909299,Year: 1998? Ref: de Guzman et al. (1999)
Vdestructor,Amellifera,2006-2007,Spain,València,Korea,39.4699,-0.37628,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Cáceres,Korea,39.47527,-6.37242,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Balearic Islands,Korea,39.61146,2.94016,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Toledo,Korea,39.86283,-4.02732,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2005?,China,Beijing,Korea,39.871519,116.479476,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2006-2007,Spain,Cuenca,Korea,40.07039,-2.13741,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2005?,United States,Pennsylvannia,Korea,40.077732,-75.187411,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2004?,Turkey,Bayburt,Korea,40.26032,40.22804,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2000,China,"Institute of Apic Res., Beijing",Korea,40.31239,116.29369,Year: 2000 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2006-2007,Spain,Madrid,Korea,40.41677,-3.70379,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Ávila,Korea,40.65668,-4.6812,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2004?,Turkey,Kurtun-Gumushane,Korea,40.70199,39.08543,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2004?,Turkey,Yokusdibi-Ordu,Korea,40.76574,37.92911,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2006-2007,Spain,Segovia,Korea,40.9429,-4.1088,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Salamanca,Korea,40.9701,-5.66353,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2004?,Turkey,Anzer-Rize,Korea,41.02647,40.51556,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2004?,Turkey,Eregli,Korea,41.29153,31.55883,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2004?,Turkey,Inebolu-Kastamonu,Korea,41.37158,33.75966,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2006-2007,Spain,Zamora,Korea,41.50347,-5.74678,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2004?,Turkey,Bafra-Samsun,Korea,41.56195,35.90568,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2006-2007,Spain,Zaragoza,Korea,41.64882,-0.88908,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Valladolid,Korea,41.65225,-4.72453,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Soria,Korea,41.76659,-2.47903,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2004?,Turkey,Erfelek-Sinop,Korea,41.87957,34.90854,Year: 2004? Ref: Warrit et al. (2004)
Vdestructor,Amellifera,2006-2007,Spain,Palencia,Korea,42.00968,-4.5288,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Huesca,Korea,42.13184,-0.4078,Year: 2006-2007 Ref: Munoz et al. (2008)
