Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. mellifera,NA,Argentina,"Famaillá, Tucumán",VD_Korea_K1,VD_K_type,-27.05,-65.4,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,NA,Argentina,"Formosa, Formosa",VD_Korea_K1,VD_K_type,-26.1847222,-58.17583333,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,NA,Argentina,"Leales, Tucumán",VD_Korea_K1,VD_K_type,-27.0327778,-65.30722222,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,2006-2009,Argentina,Neuquen,VD_Korea_K1,VD_K_type,-38.95167,-68.05918,approximate,Year:2006-2009 Ref:Maggi et al. (2012),Litterature
V. destructor,A. mellifera,NA,Argentina,"Rafaela, Santa Fe",VD_Korea_K1,VD_K_type,-31.2666667,-61.48333333,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,NA,Argentina,"Reconquista, Santa Fe",VD_Korea_K1,VD_K_type,-29.2333333,-59.93333333,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,2006-2009,Argentina,Rio Negro,VD_Korea_K1,VD_K_type,-40.82614,-63.02663,approximate,Year:2006-2009 Ref:Maggi et al. (2012),Litterature
V. destructor,A. mellifera,2006-2009,Argentina,Santa Cruz,VD_Korea_K1,VD_K_type,-51.63528,-69.24743,approximate,Year:2006-2009 Ref:Maggi et al. (2012),Litterature
V. destructor,A. mellifera,NA,Argentina,"Santa Fe, Santa Fe",VD_Korea_K1,VD_K_type,-31.6333333,-60.7,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,2017?,Benin,Bante,VD_Korea_K1,VD_K_type,8.409505,1.888336,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Bassila,VD_Korea_K1,VD_K_type,9.00664,1.667825,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
