Species,Host,Year,Location,Haplogroup,GROUP,Description
V. destructor,A. mellifera,2005?,Mexico,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1995,Mexico,VD_Korea_K1,VD_K_type,Year:1995 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1998?,Mexico,VD_Korea_K1,VD_K_type,Year:1998? Ref:de Guzman et al. (1999)
V. destructor,A. mellifera,2009?,Mexico,VD_Korea_K1,VD_K_type,Year:2009? Ref:Guerra et al. (2010)
V. destructor,A. mellifera,2013,Mongolia,VD_Korea_K1,VD_K_type,Year:2013 Ref:Tsevegmid et al. (2016)
V. destructor,A. mellifera,1992,Morocco,VD_Korea_K1,VD_K_type,Year:1992 Ref:de Guzman et al. (1997)
V. destructor,A. cerana,1997,Nepal,VD_Nepal_1,VD_Nepal_1,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,NA,NA,Nepal,VD_Nepal_1,VD_Nepal_1,Year: NA Accession: AF106898
V. destructor,A. mellifera,1997,Netherlands,VD_Korea_K1,VD_K_type,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2016,New Zealand,VD_Korea_K1,VD_K_type,Year:2016 Ref:Li et al. (2018)
V. destructor,A. mellifera,2005?,New Zealand,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,NA,2016,New Zealand,VD_Korea_K1,VD_K_type,Year: 2016 Accession: MG793455
V. destructor,A. mellifera,2009-2010,Nigeria,VD_Korea_K1,VD_K_type,Year: 2009-2010 Ref: Akinwande et al. (2012;2013)
V. destructor,A. mellifera,2009-2010,Nigeria,VD_Korea_K1,VD_K_type,Year:2009-2010 Ref:Akinwande et al. (2012;2013)
V. jacobsoni,A. cerana,1991,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:1991 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1992,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:1992 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1995,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:1995 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1996,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:1996 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1993;1994,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:1993;1994 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1993;1995;1998,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:1993;1995;1998 Ref:Anderson and Trueman (2000)
V. underwoodi,A. cerana,NA,Papua New Guinea,VU_Papua_New_Guinea,VU_Papua_New_Guinea,Year:NA Ref:Anderson and Trueman (2000)
V. jacobsoni,A. mellifera,2008,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year:2008 Ref:Roberts et al. (2015)
V. jacobsoni,A. mellifera,2008,Papua New Guinea,VJ_Papua_New_Guinea_1,VJ_Papua_New_Guinea_1,Year:2008 Ref:Techer et al. (2019)
V. jacobsoni,NA,NA,Papua New Guinea,VJ_Java_1,VJ_Java_1,Year: NA Accession: MF462134
V. jacobsoni,NA,NA,Papua New Guinea,VJ_Java_1,VJ_Java_1,"Year:NA Ref:Brandley,M.C."
Varroa sp.,A. cerana,2013,Philippines,VSP_Los_Banos_1,VSP_Los_Banos_1,Year:2013 Ref:Beaurepaire et al. (2015)
Varroa sp.,A. cerana,1996,Philippines,VSP_Luzon_1,VSP_Luzon_1,Year:1996 Ref:Anderson and Trueman (2000)
Varroa sp.,A. cerana,1997;1998,Philippines,VSP_Luzon_2,VSP_Luzon_2,Year:1997;1998 Ref:Anderson and Trueman (2000)
Varroa sp.,A. cerana,1998,Philippines,VSP_Mindanao,VSP_Mindanao,Year:1998 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2005?,Philippines,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1997;1998,Philippines,VD_Korea_K1,VD_K_type,Year:1997;1998 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2015,Philippines,VD_Korea_K1,VD_K_type,Year:2015 Ref:Beaurepaire et al. (2015)
Varroa sp.,A. mellifera,2013,Philippines,VSP_Los_Banos_1,VSP_Los_Banos_1,Year:2013 Ref:Beaurepaire et al. (2015)
V. destructor,Apis cerana,2013,Philippines,VSP_Los_Banos_1,VSP_Los_Banos_1,Year: 2013 Accession: KR528386
Varroa sp.,Apis cerana,NA,Philippines,VSP_Luzon_1,VSP_Luzon_1,Year: NA Accession: AF106894
Varroa sp.,Apis cerana,NA,Philippines,VSP_Luzon_2,VSP_Luzon_2,Year: NA Accession: AF106895
Varroa sp.,Apis cerana,NA,Philippines,VSP_Mindanao,VSP_Mindanao,Year: NA Accession: AF106893
V. destructor,Apis mellifera,2015,Philippines,VD_Korea_K1,VD_K_type,Year: 2015 Accession: KR528385
V. destructor,Apis mellifera,2013,Philippines,VSP_Los_Banos_1,VSP_Los_Banos_1,Year: 2013 Accession: KR528387
V. destructor,A. mellifera,2005?,Poland,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1991,Portugal,VD_Korea_K1,VD_K_type,Year:1991 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1992,Portugal,VD_Korea_K1,VD_K_type,Year:1992 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,1994,Puerto Rico,VD_Japan_J1,VD_Japan_J1,Year:1994 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,1996,Puerto Rico,VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,NA,Puerto Rico,COMBINED,KoreaJapan,NA
V. destructor,A. mellifera,2015,Republic of Korea,VD_Korea_K1,VD_K_type,Year:2015 Ref:Thapa et al. (2015)
V. destructor,A. mellifera,2012-2013,Republic of Korea,VD_Korea_K1,VD_K_type,Year:2012-2013 Ref:Thapa et al. (2015)
V. destructor,A. mellifera,1995,Russia,VD_Korea_K1,VD_K_type,Year:1995 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1995,Russia,VD_Korea_K1,VD_K_type,Year:1995 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,1995,Russia,VD_Korea_K1,VD_K_type,Year:1995 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,2013,Saudi Arabia,VD_Korea_K1,VD_K_type,Year:2013 Ref:Alattal et al. (2015)
V. destructor,Apis mellifera,NA,Saudi Arabia,VD_Saudi_Arabia_2,VD_K_type,Year: NA Accession: KJ507740
V. destructor,Apis mellifera,NA,Saudi Arabia,VD_Saudi_Arabia_4,VD_K_type,Year: NA Accession: KJ507741
